x	y	kxx	kxy	kyy
128.487	56.9255	0.0329687	0.0047468	0.0390232
148.842	63.484	0.0225135	-0.000227189	0.0248931
174.453	71.8044	0.0210516	-0.00149201	0.0186117
200.644	80.9484	0.014252	-0.000364613	0.0177124
122.838	81.0183	0.0831354	-0.00132475	0.0713467
142.53	89.4196	0.0220527	0.00174686	0.0353628
166.247	99.2836	0.0223566	0.000144188	0.0244572
191.961	110.119	0.0153668	-0.000509057	0.0214377
116.928	105.304	0.0577281	0.00721976	0.0499613
136.262	114.689	0.0277234	0.00125283	0.0604319
159.158	125.38	0.0236252	0.00247895	0.0310563
183.154	136.876	0.0177201	0.0010362	0.0181866
79.0455	55.3702	0.0302561	-9.25941e-05	0.029188
112.566	59.7002	0.0337665	0.00188499	0.0351865
146.086	64.1897	0.0251666	-0.00122466	0.0360613
173.26	68.6501	0.0189167	-0.00185333	0.0245168
73.2077	91.4305	1.49984	-0.342353	1.83332
106.993	94.4728	0.0444984	-0.000779543	0.0369392
140.142	97.5466	0.0331878	-0.00279	0.0386645
167.701	100.383	0.0228789	-0.0035657	0.027685
69.6924	127.627	0.0256152	4.90178e-06	0.0191217
102.582	129.172	0.0392916	-0.00518414	0.0419078
134.895	129.769	0.0314885	-0.00275848	0.0289829
162.479	130.43	0.0220318	-0.00261055	0.0210842
41.8979	50.29	0.0274802	0.00335076	0.0188359
65.4563	58.8714	0.0263683	0.00268811	0.0212062
91.3817	68.6475	0.0292899	0.00232561	0.0277343
114.434	78.0738	0.0279676	0.00426016	0.0260739
32.8935	72.6085	0.0338384	0.00294738	0.0226807
57.5455	81.8521	0.0223109	0.00206365	0.0227139
84.2849	91.6061	0.0280532	0.00217604	0.0238693
108.896	101.032	0.0286446	0.00223802	0.0281305
23.8602	98.086	0.0233845	0.00216541	0.0189982
49.2588	107.567	0.0272312	-0.001111	0.0220167
77.135	117.067	0.0239363	0.00119389	0.0258028
103.09	125.728	0.0267785	0.00281562	0.0258415
54.203	37.0709	0.0193304	0.000819771	0.0146583
83.8073	42.02	0.0265862	0.00255214	0.024523
114.292	47.8811	0.0271228	0.00538011	0.0268786
140.387	53.8758	0.0235157	0.00516799	0.0292871
50.2982	66.1517	0.021702	-0.0004983	0.0213629
81.3504	70.9255	0.0321094	0.00388151	0.027078
113.012	76.3275	0.0364013	0.0038586	0.0300807
140.359	81.3593	0.0295813	0.00190516	0.0412085
47.3341	99.5927	0.0210521	0.00105565	0.0183767
79.6235	103.51	0.0386488	0.00160143	0.0371932
112.186	107.319	0.0342356	0.000482937	0.043521
140.572	110.655	0.0238458	-0.00150336	0.0345684
