x	y	kxx	kxy	kyy
71.8141	58.6976	0.0499983	-0.00416592	0.0264918
105.458	57.917	0.0567284	-0.00258561	0.0353554
140.569	57.5495	0.0447319	-0.000381204	0.031024
176.19	57.4622	0.0320012	-0.000901899	0.0219239
66.8549	89.0563	0.0544052	-0.00529295	0.0329823
102.471	89.0319	0.0606234	-0.00126715	0.0442986
140.278	88.967	0.0518681	-0.00186129	0.0456981
178.284	88.6994	0.03023	-6.02926e-05	0.0277106
62.0162	123.419	0.0379648	-0.00542274	0.0310386
99.9438	124.23	0.0489196	-0.00297666	0.0386012
139.954	124.797	0.0377041	-0.0011823	0.0386853
180.246	124.843	0.0257003	0.000520036	0.0218256
62.9167	72.6444	0.063918	-0.00668878	0.0278636
91.2847	71.3644	0.0682655	-0.00551171	0.0336735
121.219	70.0545	0.0809475	-0.00408224	0.0392466
152.055	68.6899	0.0616988	-0.000711359	0.029835
56.2711	93.9156	0.0570444	-0.00883246	0.0285299
86.9931	93.0097	0.0702486	-0.00887083	0.0381125
119.58	91.7732	0.0819533	-0.00693596	0.0425999
153.361	90.7609	0.0628945	-0.00240353	0.0349995
49.2872	119.113	0.0464744	-0.00583478	0.028346
82.3113	118.78	0.0612606	-0.00803305	0.0362967
117.613	118.336	0.064549	-0.00887114	0.0426272
154.569	117.362	0.0521295	-0.00337461	0.0328567
70.1824	74.4096	0.0881734	-0.0208645	0.0388795
93.7895	71.6504	0.0806169	-0.0191584	0.0429407
119.661	68.8792	0.0741227	-0.0157082	0.0407388
147.65	66.0325	0.0579937	-0.0076123	0.0285862
60.8672	93.9132	0.0731082	-0.0171065	0.037791
85.4975	92.002	0.0690229	-0.018394	0.0443947
113.069	90.013	0.071705	-0.0165515	0.0479308
143.338	87.6103	0.0704364	-0.0135121	0.0427831
51.0547	116.143	0.0535376	-0.0124343	0.0346623
76.4013	115.461	0.0586752	-0.0128562	0.0377088
105.632	114.682	0.0621203	-0.0141857	0.0440157
137.934	113.398	0.0604044	-0.010571	0.042203
82.4966	66.243	0.0557798	-0.014262	0.04855
107.015	61.777	0.0455265	-0.0124364	0.0491694
134.784	57.0135	0.0436496	-0.00866538	0.0404715
166.04	52.0294	0.0311115	-0.00585304	0.0261457
76.49	92.7313	0.0603425	-0.0119656	0.058425
102.063	89.9981	0.0563352	-0.0149286	0.0592396
131.089	86.766	0.0557992	-0.0138251	0.0544684
163.886	83.1347	0.0349981	-0.00715546	0.0367463
70.6268	121.955	0.0502754	-0.0114788	0.0469083
96.7465	121.257	0.0491317	-0.0141347	0.0555938
126.92	119.925	0.0448065	-0.00852522	0.0516926
161.515	118.18	0.033613	-0.00413907	0.0362921
84.2548	49.0711	0.0451754	-0.00540982	0.0516705
110.726	46.6087	0.0343465	-0.00664248	0.0503976
141.291	44.1358	0.0306028	-0.00301473	0.0339852
176.856	41.7064	0.021935	-0.00242517	0.0222678
79.3965	81.167	0.059264	-0.00453312	0.0661558
105.834	81.0278	0.0479989	-0.00671116	0.0630813
137.218	80.8931	0.0410476	-0.00428299	0.0581285
173.765	81.2361	0.029001	-0.00190392	0.0344863
75.0916	114.023	0.0542979	-0.00465283	0.0590619
101.623	116.506	0.0432665	-0.00474232	0.0582806
133.065	119.755	0.0375521	-0.00356234	0.0536654
170.094	123.004	0.0297099	-0.000837842	0.033624
96.9618	73.0095	0.0530583	0.00288748	0.0560782
124.683	75.1726	0.0399819	0.00314291	0.0544626
156.835	77.9224	0.0321485	0.000596869	0.0419519
193.348	81.3359	0.0193645	0.000297548	0.0214061
94.5429	105.948	0.0552173	0.00511712	0.0743414
