x	y	kxx	kxy	kyy
652.302	220.525	0.00203948	-7.77887e-05	0.0018094
896.256	209.79	0.00185369	-8.05936e-05	0.00172009
1150.23	199.534	0.00188617	3.01625e-05	0.00164907
1411.88	189.778	0.00213959	0.00011714	0.00176689
631.671	464.888	0.00213857	-0.000100133	0.00181779
894.744	459.207	0.00173872	-4.43081e-05	0.00169483
1169.65	453.198	0.00188707	9.25708e-05	0.00169454
1453.2	446.924	0.0022693	0.000156745	0.00195478
611.485	747.99	0.00298208	-0.000219613	0.00309432
893.444	750.962	0.00237315	-0.000112481	0.00281148
1191.95	750.984	0.00261904	0.000381168	0.00268737
1492.56	744.236	0.00371629	-4.43975e-05	0.00358238
627.867	274.424	0.00318083	-0.000382436	0.00175993
840.483	276.998	0.00286914	-0.000192463	0.00186459
1052.63	279.981	0.00281011	0.000120135	0.00189063
1263.29	283.041	0.00302184	0.000382014	0.00193453
558.315	470.206	0.00251797	-0.00044363	0.00181428
812.778	473.721	0.00211196	-0.000176849	0.00171245
1067.14	476.626	0.00204921	0.000146193	0.00176826
1319.06	479.587	0.0024979	0.000419175	0.00192915
465.368	755.884	0.00345663	-0.00075316	0.00365039
772.421	766.564	0.00263432	-0.000703943	0.00337587
1088.35	769.794	0.00235631	0.000500649	0.00318342
1395.68	767.056	0.00320279	0.000667655	0.00354284
648.014	313.57	0.00471431	-0.000528198	0.00193137
835.526	315.791	0.00437451	-0.000204712	0.0019005
1019.04	318.305	0.00448104	0.000203899	0.00208793
1197.86	320.786	0.00479888	0.000613206	0.00211936
567.714	458.723	0.00320672	-0.000627929	0.00172096
804.987	460.37	0.00283171	-0.000241625	0.00172536
1036.52	461.184	0.0026592	0.000209502	0.00192958
1260.4	462.235	0.00312963	0.000556138	0.00182479
440.228	703.901	0.00347424	-0.00102612	0.00270622
753.413	707.644	0.00239534	-0.000662357	0.00239646
1065.75	704.592	0.0020438	0.000359615	0.00239807
1362.6	698.51	0.00288116	0.000926014	0.00262588
550.688	236.764	0.00199115	0.000265206	0.00167015
837.145	233.405	0.00170618	0.00014315	0.00182039
1102.09	231.64	0.00184347	-3.59061e-05	0.00189527
1345.01	230.694	0.00191083	-0.000223279	0.00209877
589.324	506.652	0.00277869	0.000130591	0.00182941
852.713	493.971	0.00242923	3.04695e-05	0.00183984
1097.06	482.468	0.00249412	-5.72397e-05	0.00200462
1322.48	471.653	0.00278269	-0.000214682	0.00221004
625.466	734.677	0.00330254	0.000136324	0.00225658
866.504	715.783	0.00298587	-0.000129729	0.00247941
1092.79	697.199	0.00306235	-8.73494e-05	0.00251005
1301.68	678.894	0.00292643	-0.000335613	0.00267404
630.718	350.997	0.00223806	0.000340307	0.00151328
918.787	319.41	0.00173106	-2.78157e-07	0.00166906
1181.8	291.454	0.0019252	-0.000299289	0.00191741
1419.9	267.149	0.00206475	-0.000698596	0.00231427
706.402	580.447	0.00300469	3.72974e-05	0.00178421
944.444	545.367	0.00271948	-0.000138242	0.00187404
1164.56	513.187	0.0026354	-0.000350004	0.00218728
1368.16	483.226	0.00287123	-0.000768456	0.00238359
761.074	741.868	0.00413054	-0.000183276	0.00217939
962.725	706.822	0.00394363	-0.000286305	0.00253445
1152.57	673.652	0.00399182	-0.000556418	0.00258487
1328.5	641.965	0.00406592	-0.000976171	0.00264596
725.502	216.325	0.00179109	0.00015702	0.00165309
959.846	250.01	0.00190883	1.75163e-05	0.00225832
1144.77	277.337	0.00215087	-4.23053e-05	0.00268673
1294.16	299.335	0.00231863	-0.000296783	0.00334319
716.795	457.496	0.00226444	-4.43432e-05	0.00171949
942.158	462.959	0.00226893	-0.000133433	0.0023183
1122.16	467.373	0.00249577	-0.000167507	0.00279203
1268.32	470.96	0.00240358	-0.000363468	0.00336571
709.919	676.398	0.00272583	-0.000340263	0.002094
926.269	658.206	0.0025999	-0.000313004	0.00251458
1101.24	643.474	0.00256378	-0.000314447	0.00299287
1243.79	630.64	0.00272715	-0.000434729	0.00356415
878.149	172.367	0.00161136	0.000231575	0.00188747
1085.89	239.547	0.00168378	6.73361e-05	0.0027478
1228.07	286.461	0.00216867	-2.65439e-05	0.00423131
1332.17	320.421	0.00241745	-0.000191808	0.0054039
845.972	439.146	0.00197703	-5.007e-05	0.00196657
1057.32	457.251	0.00199086	-0.000138804	0.00269215
1202.88	469.69	0.00229367	-0.000253334	0.00390172
1309.34	478.916	0.00264277	-0.000490518	0.00560491
815.11	699.082	0.00258836	-0.000647475	0.00249776
1029.12	670.008	0.00238902	-0.000481658	0.00325709
1178.24	650.174	0.00262618	-0.000599259	0.00415957
1286.55	634.448	0.00275891	-0.00087268	0.00593735
712.226	249.469	0.00228393	-0.00012027	0.0026302
905.315	240.912	0.00198032	-0.000116348	0.00219836
1145.81	231.17	0.00193527	-0.000155289	0.00171092
1447.69	220.343	0.00240861	-0.000129685	0.00167327
700.483	456.857	0.00253089	4.26173e-05	0.00283984
893.328	471.431	0.0022449	6.42662e-05	0.00225374
1133.62	489.452	0.00209139	9.24241e-05	0.00176655
1436.97	512.131	0.00309992	0.000115737	0.0019678
690.057	665.355	0.00275974	9.11279e-05	0.00311519
881.577	703.161	0.00248866	9.96684e-05	0.0028651
1121.02	749.482	0.00264729	0.000433134	0.00255536
1417.94	801.742	0.00406547	8.09363e-05	0.00287715
753.446	270.332	0.00215985	-0.000389762	0.00408708
893.969	237.676	0.00216632	-0.00043306	0.00289169
1099.08	190.512	0.00165689	-0.0003215	0.0018385
1418.3	119.539	0.00215337	-0.000446169	0.00154501
742.72	448.392	0.00219417	-0.000184614	0.00397634
885.954	448.914	0.00184746	-2.89614e-05	0.00270141
1097.29	449.901	0.00187708	-1.07808e-06	0.00181485
1435.34	451.06	0.00265663	-1.03499e-05	0.00176426
732.911	635.544	0.00236993	0.000111809	0.00449762
877.737	673.416	0.00228685	0.000208313	0.00353083
1094.64	729.007	0.00238683	0.000670205	0.00293537
1439.64	810.853	0.00408819	0.000490092	0.00290992
865.673	105.143	0.00311394	0.000546243	0.00189512
1074.01	180.942	0.00292251	0.000571444	0.00220488
1253.72	247.316	0.00321252	0.0009428	0.00287712
1410.52	304.86	0.00350878	0.0014542	0.00376307
804.956	282.43	0.00229079	0.000180501	0.00146212
1057.24	357.95	0.00196879	0.000302519	0.00179591
1269.47	421.356	0.00251489	0.00073353	0.0026782
1449.09	475.425	0.00254067	0.00104595	0.00349549
712.873	552.743	0.00239426	-0.000293148	0.00172474
1032.47	616.831	0.00184899	0.000162447	0.00227729
1291.26	668.691	0.00213331	0.000604538	0.00296408
1496.27	705.824	0.00288908	0.00110241	0.00479349
756.285	215.538	0.00160295	0.000181274	0.00153447
1024.28	240.203	0.00161218	1.41612e-05	0.00199097
1223.77	259.448	0.00174806	-0.000174288	0.00254884
1378.11	274.376	0.00185292	-0.000322354	0.00328279
762.63	496.968	0.00221709	-9.07219e-05	0.00163885
1009.99	482.25	0.00217454	-0.000185336	0.00214035
1198.47	471.189	0.00225134	-0.000282301	0.00272675
1346.64	462.487	0.00246737	-0.000630716	0.00350309
768.876	733.938	0.00296545	-0.000520039	0.00235009
997.569	691.042	0.00285208	-0.000510141	0.00284332
1176.5	657.445	0.00295045	-0.000678691	0.00313663
1317.98	629.724	0.00293252	-0.000919601	0.00401546
751.552	269.961	0.00216727	0.000174687	0.00427014
875.743	250.35	0.00208879	-9.31172e-06	0.00311171
1048.54	223.061	0.00178771	-0.000101632	0.00216896
1302.67	183.5	0.0016943	-0.000270521	0.0015736
770.058	427.589	0.00258196	0.000300633	0.00426699
891.744	433.18	0.00243551	0.000331871	0.00327197
1057.88	441.011	0.00236665	0.000164441	0.00214385
1296.83	451.993	0.00228588	2.42607e-06	0.00154169
788.238	572.57	0.00312031	0.00088544	0.00490704
906.368	599.636	0.00264858	0.00054979	0.00348355
1065.61	635.175	0.00255432	0.000647057	0.00270284
1289.82	685.07	0.00274439	0.000486774	0.00190576
522.615	169.149	0.00194348	9.10531e-05	0.00154113
770.141	196.096	0.00195537	0.000122578	0.00186209
984.918	220.891	0.00196204	8.49449e-05	0.00210601
1170.93	242.507	0.00212733	8.00668e-05	0.00242257
507.267	405.877	0.00236082	2.30147e-05	0.0017241
759.956	416.358	0.00218457	-1.38311e-05	0.00180918
977.667	425.436	0.00213122	-3.42016e-05	0.00202455
1165.99	433.457	0.00232002	-1.83177e-05	0.00238144
496.511	647.657	0.00301339	-0.000110494	0.00223916
749.94	641.119	0.00231677	-0.000185788	0.00203528
970.569	634.066	0.00229813	-0.000131345	0.00245967
1160.19	627.338	0.00252193	-1.37489e-06	0.00290659
776.692	283.772	0.00244727	-0.00038707	0.0031263
925.756	259.017	0.00243314	-0.000298912	0.002551
1113.51	228.629	0.00217043	-0.000168114	0.00193173
1354.97	189.677	0.00211789	-0.000159319	0.00150387
767.715	448.133	0.00234324	-0.000137352	0.00327146
922.81	442.345	0.0022618	-5.88169e-05	0.00256584
1120.05	434.939	0.00205632	2.49601e-05	0.00197427
1377.43	425.358	0.0021618	2.65415e-05	0.00149169
759.16	626.17	0.00249149	-4.8912e-06	0.00336597
919.679	642.799	0.0024274	8.08994e-05	0.00276664
1126.61	663.484	0.00238292	0.000308147	0.0023207
1398.55	688.972	0.00328815	0.000429604	0.00235752
